Run	pheno	Project	MIC	pdst_method1	pdst_method2	pdst_method3	pdst_classification	country	Lineage	Sublineage
ERR553384	S	PRJEB6273	5	liquid_media	MGIT	MGIT960	WHO_current	Germany	LINEAGE4	lineage4.3.4.2
ERR553385	S	PRJEB6273	5	liquid_media	MGIT	MGIT960	WHO_current	Germany	LINEAGE4	lineage4.3.4.2
ERR553386	S	PRJEB7727	WHO	liquid_media	MGIT	MGIT960	WHO_past	SierraLeone	LINEAGE4	lineage4.8
ERR553387	S	PRJEB9680	WHO	liquid_media	MGIT	MGIT960	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR553388	S	PRJEB9680	WHO	liquid_media	MGIT	MGIT960	WHO_past	Germany	LINEAGE4	lineage4.1.2.1
ERR553390	S	PRJEB9680	WHO	liquid_media	MGIT	MGIT960	WHO_past	Germany	LINEAGE4	lineage4.9.x.x
ERR553392	S	PRJEB9680	WHO	liquid_media	MGIT	MGIT960	WHO_past	Germany	LINEAGE3	lineage3.1.2
ERR553393	R	PRJEB9680	WHO	liquid_media	MGIT	MGIT960	WHO_past	Uzbekistan	LINEAGE2	lineage2.2.1
ERR553394	R	PRJEB9680	WHO	liquid_media	MGIT	MGIT960	WHO_past	Uzbekistan	LINEAGE2	lineage2.2.1
ERR5908124	S	PRJEB42011	5	liquid_media	MGIT	MGIT960	WHO_current	Ireland	LINEAGE4	lineage4.8
ERR5909158	S	PRJEB42011	5	liquid_media	MGIT	MGIT960	WHO_current	Ireland	LINEAGE4	lineage4.4.1.1
ERR5917664	R	PRJEB44575	WHO	liquid_media	MGIT	MGIT960	WHO_past	Belarus	LINEAGE2	lineage2.2.1
ERR5917665	S	PRJEB44575	WHO	liquid_media	MGIT	MGIT960	WHO_past	Belarus	LINEAGE4	lineage4.8
ERR5917666	R	PRJEB44575	WHO	liquid_media	MGIT	MGIT960	WHO_past	Belarus	LINEAGE2	lineage2.2.1
ERR5917667	R	PRJEB44575	WHO	liquid_media	MGIT	MGIT960	WHO_past	Belarus	LINEAGE4	lineage4.3.3
ERR5917668	R	PRJEB44575	WHO	liquid_media	MGIT	MGIT960	WHO_past	Belarus	LINEAGE4	lineage4.3.3
