Run	pheno	Project	MIC	pdst_method1	pdst_method2	pdst_method3	pdst_classification	country	Lineage	Sublineage
ERR2184293	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.3
ERR2184294	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2.1
ERR2184297	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.8
ERR2184298	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.3
ERR2184300	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2.1
ERR2184301	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.9.x.x
ERR2184303	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE2	lineage2.2.1
ERR2184304	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	NA	NA
ERR2184305	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.2
ERR2184307	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2
ERR2184308	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.1.3
ERR2184310	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.2
ERR2184311	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.2
ERR2184312	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	NA	NA
ERR2184313	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2.1
ERR2184314	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.4.1
ERR2184315	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2.1
ERR2184316	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.2
ERR2184318	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.2
ERR2184319	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3
ERR2184320	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	NA	NA
ERR2184323	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3
ERR2184325	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3
ERR2184326	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.4.1.1
ERR2184327	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	NA	NA
ERR2184328	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	NA	NA
ERR2184329	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE2	lineage2.2.1
ERR2184330	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.3
ERR2184331	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE2	lineage2.2.1
ERR2184332	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE2	lineage2.2.1
ERR2184333	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE2	lineage2.2.1
ERR2184334	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.2
ERR2184337	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.9.x.x
ERR2184338	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.9.x.x
ERR2184339	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2.1
ERR2184341	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2.1
ERR2184342	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE2	lineage2.2.1
ERR2184344	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.2
ERR2184345	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2.1
ERR2184346	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.3
ERR2184347	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	NA	NA
ERR2184348	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.9.x.x
ERR2184349	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.8
ERR2184350	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	NA	NA
ERR2184351	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE2	lineage2.2.1
ERR2184352	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2.1
ERR2184353	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3
ERR2184354	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.2
ERR2184355	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2.1
ERR2184356	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	NA	NA
ERR2184357	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE2	lineage2.2.1
ERR2184358	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.1
ERR2184359	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	NA	NA
ERR2184360	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.2
